year,jvndb_id,title,description,published_date,cvss_score,cvss_severity,cve_ids,affected_products,link
2025,JVNDB-2025-021158,OpenPrinting の CUPS におけるリソースの枯渇に関する脆弱性,OpenPrinting の CUPS には、リソースの枯渇に関する脆弱性が存在します。,2025-12-08 06:44:05+00:00,5.5,Medium,CVE-2025-58436,OpenPrinting:CUPS,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021158.html
2025,JVNDB-2025-021159,"ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System における認可に関する脆弱性","ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System には、認可に関する脆弱性が存在します。",2025-12-08 06:44:08+00:00,8.8,High,CVE-2025-4519,"ThemeAtelier:IDonate - Blood Donation, Request And Donor Management System",https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021159.html
2025,JVNDB-2025-021160,Check MK における制御されていない検索パスの要素に関する脆弱性,Check MK には、制御されていない検索パスの要素に関する脆弱性が存在します。,2025-12-08 06:44:10+00:00,7.8,High,CVE-2025-32919,Check MK:Check MK,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021160.html
2025,JVNDB-2025-021161,Check MK における GET リクエストにおけるクエリ文字列からの情報漏えいに関する脆弱性,Check MK には、GET リクエストにおけるクエリ文字列からの情報漏えいに関する脆弱性が存在します。,2025-12-08 06:44:13+00:00,4.3,Medium,CVE-2025-32916,Check MK:Check MK,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021161.html
2025,JVNDB-2025-021162,複数の WSO2 製品における危険なタイプのファイルの無制限アップロードに関する脆弱性,WSO2 API Control Plane、WSO2 API Manager、WSO2 Enterprise Integrator 等複数の WSO2 製品には、危険なタイプのファイルの無制限アップロードに関する脆弱性が存在します。,2025-12-08 06:44:15+00:00,7.2,High,CVE-2025-3125,WSO2:Identity Server as Key Manager; WSO2:WSO2 API Control Plane; WSO2:WSO2 API Manager; WSO2:WSO2 Enterprise Integrator; WSO2:WSO2 Identity Server; WSO2:WSO2 Open Banking IAM; WSO2:WSO2 Traffic Manager; WSO2:WSO2 Universal Gateway,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021162.html
2025,JVNDB-2025-021163,サムスンの Samsung Internet における脆弱性,サムスンの Samsung Internet には、不特定の脆弱性が存在します。,2025-12-08 06:44:18+00:00,7.1,High,CVE-2025-20994,サムスン:Samsung Internet,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021163.html
2025,JVNDB-2025-021164,複数のメディアテック製品におけるキャッチされない例外に関する脆弱性,NR15、nr16、NR17 等複数のメディアテック製品には、キャッチされない例外に関する脆弱性が存在します。,2025-12-08 06:44:20+00:00,5.3,Medium,CVE-2025-20754,メディアテック:NR15; メディアテック:nr16; メディアテック:NR17; メディアテック:NR17R,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021164.html
2025,JVNDB-2025-021165,scada-lts におけるパストラバーサルの脆弱性,scada-lts には、パストラバーサルの脆弱性が存在します。,2025-12-08 06:44:23+00:00,6.5,Medium,CVE-2025-13791,scada-lts:scada-lts,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021165.html
2025,JVNDB-2025-021166,scada-lts におけるクロスサイトリクエストフォージェリの脆弱性,scada-lts には、クロスサイトリクエストフォージェリの脆弱性、認証の欠如に関する脆弱性が存在します。,2025-12-08 06:44:25+00:00,8.8,High,CVE-2025-13790,scada-lts:scada-lts,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021166.html
2025,JVNDB-2025-021167,Themeum の WordPress 用 Tutor LMS における脆弱性,Themeum の WordPress 用 Tutor LMS には、不特定の脆弱性が存在します。,2025-12-08 06:54:05+00:00,4.3,Medium,CVE-2025-6680,Themeum:Tutor LMS,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021167.html
2025,JVNDB-2025-021168,Grav CMS の grav におけるパストラバーサルの脆弱性,Grav CMS の grav には、パストラバーサルの脆弱性が存在します。,2025-12-08 06:54:08+00:00,8.8,High,CVE-2025-66295,Grav CMS:grav,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021168.html
2025,JVNDB-2025-021169,Castos Inc. の WordPress 用 Seriously Simple Podcasting におけるクロスサイトリクエストフォージェリの脆弱性,Castos Inc. の WordPress 用 Seriously Simple Podcasting には、クロスサイトリクエストフォージェリの脆弱性が存在します。,2025-12-08 06:54:10+00:00,4.3,Medium,CVE-2025-66061,Castos Inc.:Seriously Simple Podcasting,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021169.html
2025,JVNDB-2025-021170,Roo Code における入力確認に関する脆弱性,Roo Code には、入力確認に関する脆弱性、コマンドインジェクションの脆弱性が存在します。,2025-12-08 06:54:13+00:00,8.1,High,CVE-2025-65946,Roo Code:Roo Code,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021170.html
2025,JVNDB-2025-021171,PublicCMS におけるサーバサイドのリクエストフォージェリの脆弱性,PublicCMS には、サーバサイドのリクエストフォージェリの脆弱性が存在します。,2025-12-08 06:54:15+00:00,9.1,Critical,CVE-2025-65836,PublicCMS:PublicCMS,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021171.html
2025,JVNDB-2025-021172,Castos Inc. の WordPress 用 Seriously Simple Podcasting における認証の欠如に関する脆弱性,Castos Inc. の WordPress 用 Seriously Simple Podcasting には、認証の欠如に関する脆弱性が存在します。,2025-12-08 06:54:18+00:00,4.3,Medium,CVE-2025-62882,Castos Inc.:Seriously Simple Podcasting,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021172.html
2025,JVNDB-2025-021173,vLLM における配列インデックスの検証に関する脆弱性,vLLM には、配列インデックスの検証に関する脆弱性が存在します。,2025-12-08 06:54:20+00:00,6.5,Medium,CVE-2025-62372,vLLM:vLLM,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021173.html
2025,JVNDB-2025-021174,vLLM における入力確認に関する脆弱性,vLLM には、入力確認に関する脆弱性、任意の場所に任意の値を書き込み可能な状態に関する脆弱性、信頼できないデータのデシリアライゼーションに関する脆弱性が存在します。,2025-12-08 06:54:23+00:00,8.8,High,CVE-2025-62164,vLLM:vLLM,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021174.html
2025,JVNDB-2025-021175,Node.js 用 Astro におけるクラスまたはコードを選択する外部から制御された入力の使用に関する脆弱性,Node.js 用 Astro には、クラスまたはコードを選択する外部から制御された入力の使用に関する脆弱性が存在します。,2025-12-08 06:54:25+00:00,6.5,Medium,CVE-2025-61925,Astro:Astro,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021175.html
2025,JVNDB-2025-021176,OpenPrinting の CUPS におけるバッファアンダーフローの脆弱性,OpenPrinting の CUPS には、バッファアンダーフローの脆弱性、配列インデックスの検証に関する脆弱性が存在します。,2025-12-08 06:54:28+00:00,6.7,Medium,CVE-2025-61915,OpenPrinting:CUPS,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021176.html
2025,JVNDB-2025-021177,python-ldap におけるエンコードおよびエスケープに関する脆弱性,python-ldap には、エンコードおよびエスケープに関する脆弱性、不適切な NULL による終了に関する脆弱性が存在します。,2025-12-08 06:54:30+00:00,5.3,Medium,CVE-2025-61912,python-ldap:python-ldap,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021177.html
2025,JVNDB-2025-021178,siderolabs の Kubernetes 用 Omni における脆弱性,siderolabs の Kubernetes 用 Omni には、不特定の脆弱性が存在します。,2025-12-08 06:54:32+00:00,7.5,High,CVE-2025-61688,siderolabs:Omni,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021178.html
2025,JVNDB-2025-021179,Tryton の tryton における不正な認証に関する脆弱性,Tryton の tryton には、不正な認証に関する脆弱性が存在します。,2025-12-08 07:13:43+00:00,6.5,Medium,CVE-2025-66424,Tryton:tryton,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021179.html
2025,JVNDB-2025-021180,Grav CMS の grav における不適切な権限設定に関する脆弱性,Grav CMS の grav には、不適切な権限設定に関する脆弱性が存在します。,2025-12-08 07:13:46+00:00,8.8,High,CVE-2025-66296,Grav CMS:grav,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021180.html
2025,JVNDB-2025-021181,Frappe におけるパストラバーサルの脆弱性,Frappe には、パストラバーサルの脆弱性が存在します。,2025-12-08 07:13:48+00:00,8.6,High,CVE-2025-66206,Frappe:Frappe,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021181.html
2025,JVNDB-2025-021182,Castos Inc. の WordPress 用 Seriously Simple Podcasting における認可されていない制御領域への重要情報の漏えいに関する脆弱性,Castos Inc. の WordPress 用 Seriously Simple Podcasting には、認可されていない制御領域への重要情報の漏えいに関する脆弱性が存在します。,2025-12-08 07:13:51+00:00,5.3,Medium,CVE-2025-66059,Castos Inc.:Seriously Simple Podcasting,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021182.html
2025,JVNDB-2025-021183,PublicCMS におけるクロスサイトリクエストフォージェリの脆弱性,PublicCMS には、クロスサイトリクエストフォージェリの脆弱性が存在します。,2025-12-08 07:13:53+00:00,8.8,High,CVE-2025-65840,PublicCMS:PublicCMS,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021183.html
2025,JVNDB-2025-021184,PublicCMS におけるパストラバーサルの脆弱性,PublicCMS には、パストラバーサルの脆弱性が存在します。,2025-12-08 07:13:56+00:00,7.5,High,CVE-2025-65838,PublicCMS:PublicCMS,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021184.html
2025,JVNDB-2025-021185,ZITADEL における認証に関する脆弱性,ZITADEL には、認証に関する脆弱性が存在します。,2025-12-08 07:13:58+00:00,9.8,Critical,CVE-2025-64717,ZITADEL:ZITADEL,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021185.html
2025,JVNDB-2025-021186,shridhar shukla の Blood Bank Management System におけるクロスサイトスクリプティングの脆弱性,shridhar shukla の Blood Bank Management System には、クロスサイトスクリプティングの脆弱性が存在します。,2025-12-08 07:14:01+00:00,5.4,Medium,CVE-2025-63533,shridhar shukla:Blood Bank Management System,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021186.html
2025,JVNDB-2025-021187,Doist Inc. の Todoist におけるクロスサイトスクリプティングの脆弱性,Doist Inc. の Todoist には、クロスサイトスクリプティングの脆弱性が存在します。,2025-12-08 07:14:03+00:00,5.4,Medium,CVE-2025-63317,Doist Inc.:Todoist,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021187.html
2025,JVNDB-2025-021188,サムスンの Galaxy Store における脆弱性,サムスンの Galaxy Store には、不特定の脆弱性が存在します。,2025-12-08 07:14:06+00:00,3.3,Low,CVE-2025-58483,サムスン:Galaxy Store,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021188.html
2025,JVNDB-2025-021189,"ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System における認証の欠如に関する脆弱性","ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System には、認証の欠如に関する脆弱性が存在します。",2025-12-08 07:14:08+00:00,6.5,Medium,CVE-2025-4522,"ThemeAtelier:IDonate - Blood Donation, Request And Donor Management System",https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021189.html
2025,JVNDB-2025-021190,Check MK におけるパストラバーサルの脆弱性,Check MK には、パストラバーサルの脆弱性が存在します。,2025-12-08 07:14:11+00:00,6.5,Medium,CVE-2025-39664,Check MK:Check MK,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021190.html
2025,JVNDB-2025-021191,複数のメディアテック製品における到達可能なアサーションに関する脆弱性,NR15、nr16、NR17 等複数のメディアテック製品には、到達可能なアサーションに関する脆弱性が存在します。,2025-12-08 07:14:14+00:00,6.5,Medium,CVE-2025-20752,メディアテック:NR15; メディアテック:nr16; メディアテック:NR17; メディアテック:NR17R,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021191.html
2025,JVNDB-2025-021192,wolfSSL Inc. の wolfSSL における脆弱性,wolfSSL Inc. の wolfSSL には、不特定の脆弱性が存在します。,2025-12-08 07:14:16+00:00,5.4,Medium,CVE-2025-12889,wolfSSL Inc.:wolfSSL,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021192.html
2025,JVNDB-2025-021193,"ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System における認証の欠如に関する脆弱性","ThemeAtelier の WordPress 用 IDonate - Blood Donation, Request And Donor Management System には、認証の欠如に関する脆弱性が存在します。",2025-12-08 07:14:19+00:00,5.3,Medium,CVE-2025-12877,"ThemeAtelier:IDonate - Blood Donation, Request And Donor Management System",https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021193.html
2025,JVNDB-2025-021194,funnelkit の WordPress 用 funnelkit automations における認証の欠如に関する脆弱性,funnelkit の WordPress 用 funnelkit automations には、認証の欠如に関する脆弱性が存在します。,2025-12-08 07:14:21+00:00,4.3,Medium,CVE-2025-12469,funnelkit:funnelkit automations,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021194.html
2025,JVNDB-2025-021195,複数の WSO2 製品におけるコードインジェクションの脆弱性,WSO2 API Control Plane、WSO2 API Manager、WSO2 Enterprise Integrator 等複数の WSO2 製品には、コードインジェクションの脆弱性が存在します。,2025-12-08 07:14:24+00:00,7.2,High,CVE-2025-11093,WSO2:WSO2 API Control Plane; WSO2:WSO2 API Manager; WSO2:WSO2 Enterprise Integrator; WSO2:WSO2 Micro Integrator; WSO2:WSO2 Traffic Manager; WSO2:WSO2 Universal Gateway,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021195.html
2025,JVNDB-2025-021196,Google の Google Chrome における競合状態に関する脆弱性,Google の Google Chrome には、競合状態に関する脆弱性が存在します。 ,2025-12-08 07:14:29+00:00,7.5,High,CVE-2025-13721,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021196.html
2025,JVNDB-2025-021197,Google の Google Chrome における脆弱性,Google の Google Chrome には、不特定の脆弱性が存在します。 ,2025-12-08 07:14:31+00:00,8.1,High,CVE-2025-13639,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021197.html
2025,JVNDB-2025-021198,Google の Google Chrome における UI における誤ったアクションの実行に関する脆弱性,Google の Google Chrome には、UI における誤ったアクションの実行に関する脆弱性が存在します。 ,2025-12-08 07:14:34+00:00,4.3,Medium,CVE-2025-13637,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021198.html
2025,JVNDB-2025-021199,Google の Google Chrome における解放済みメモリの使用に関する脆弱性,Google の Google Chrome には、解放済みメモリの使用に関する脆弱性が存在します。 ,2025-12-08 07:14:36+00:00,8.8,High,CVE-2025-13633,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021199.html
2025,JVNDB-2025-021200,Google の Google Chrome における脆弱性,Google の Google Chrome には、不特定の脆弱性が存在します。 ,2025-12-08 07:14:39+00:00,8.8,High,CVE-2025-13631,Google:Google Chrome,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021200.html
2025,JVNDB-2025-021201,orionsec の Orion Ops における不適切な権限設定に関する脆弱性,orionsec の Orion Ops には、不適切な権限設定に関する脆弱性、認可に関する脆弱性が存在します。,2025-12-08 07:18:53+00:00,4.3,Medium,CVE-2025-13807,orionsec:Orion Ops,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021201.html
2025,JVNDB-2025-021202,Ashraf Kabir の Travel Agency with full ecommerce におけるインジェクションに関する脆弱性,Ashraf Kabir の Travel Agency with full ecommerce には、インジェクションに関する脆弱性、SQL インジェクションの脆弱性が存在します。,2025-12-08 07:18:56+00:00,9.8,Critical,CVE-2025-13546,Ashraf Kabir:Travel Agency with full ecommerce,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021202.html
2025,JVNDB-2025-021203,Ruby 用 mruby におけるバッファエラーの脆弱性,Ruby 用 mruby には、バッファエラーの脆弱性、解放済みメモリの使用に関する脆弱性が存在します。,2025-12-08 07:18:58+00:00,5.5,Medium,CVE-2025-13120,mruby:mruby,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021203.html
2025,JVNDB-2025-021204,funnelkit の WordPress 用 funnelkit automations における情報漏えいに関する脆弱性,funnelkit の WordPress 用 funnelkit automations には、情報漏えいに関する脆弱性が存在します。,2025-12-08 07:19:01+00:00,5.3,Medium,CVE-2025-12468,funnelkit:funnelkit automations,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021204.html
2025,JVNDB-2025-021205,wolfssh における認証に関する脆弱性,wolfssh には、認証に関する脆弱性が存在します。,2025-12-08 07:19:03+00:00,9.8,Critical,CVE-2025-11625,wolfssh:wolfssh,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021205.html
2025,JVNDB-2025-021206,wolfssh における境界外書き込みに関する脆弱性,wolfssh には、境界外書き込みに関する脆弱性が存在します。,2025-12-08 07:19:06+00:00,9.8,Critical,CVE-2025-11624,wolfssh:wolfssh,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021206.html
2025,JVNDB-2025-021207,Dassault Systemes の 3DSwymer におけるクロスサイトスクリプティングの脆弱性,Dassault Systemes の 3DSwymer には、クロスサイトスクリプティングの脆弱性が存在します。,2025-12-08 07:19:08+00:00,6.1,Medium,CVE-2025-10552,Dassault Systemes:3DSwymer,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021207.html
2025,JVNDB-2025-021208,Icinga GmbH の Icinga における証明書のトラストチェーンの不適切な追跡に関する脆弱性,Icinga GmbH の Icinga には、証明書のトラストチェーンの不適切な追跡に関する脆弱性が存在します。,2025-12-08 07:24:27+00:00,9.8,Critical,CVE-2025-48057,Icinga GmbH:Icinga,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021208.html
2025,JVNDB-2025-021209,Elula Tech Private Limited の WordPress 用 ELEX WordPress HelpDesk & Customer Ticketing System における危険なタイプのファイルの無制限アップロードに関する脆弱性,Elula Tech Private Limited の WordPress 用 ELEX WordPress HelpDesk & Customer Ticketing System には、危険なタイプのファイルの無制限アップロードに関する脆弱性が存在します。,2025-12-08 07:24:29+00:00,8.8,High,CVE-2025-47658,Elula Tech Private Limited:ELEX WordPress HelpDesk & Customer Ticketing System,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021209.html
2025,JVNDB-2025-021210,アドバンテック株式会社の WebAccess/VPN におけるパストラバーサルの脆弱性,アドバンテック株式会社の WebAccess/VPN には、パストラバーサルの脆弱性が存在します。,2025-12-08 07:24:32+00:00,6.5,Medium,CVE-2025-34238,アドバンテック株式会社:WebAccess/VPN,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021210.html
2025,JVNDB-2025-021211,Atlassian の Jira Data Center および jira server におけるパストラバーサルの脆弱性,Atlassian の Jira Data Center および jira server には、パストラバーサルの脆弱性が存在します。,2025-12-08 07:24:34+00:00,6.5,Medium,CVE-2025-22167,Atlassian:Jira Data Center; Atlassian:jira server,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021211.html
2025,JVNDB-2025-021212,メディアテックの NR15 および nr16 におけるキャッチされない例外に関する脆弱性,メディアテックの NR15 および nr16 には、キャッチされない例外に関する脆弱性が存在します。,2025-12-08 07:24:37+00:00,5.3,Medium,CVE-2025-20753,メディアテック:NR15; メディアテック:nr16,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021212.html
2025,JVNDB-2025-021213,メディアテックの NR15 における境界外書き込みに関する脆弱性,メディアテックの NR15 には、境界外書き込みに関する脆弱性が存在します。,2025-12-08 07:24:40+00:00,5.3,Medium,CVE-2025-20751,メディアテック:NR15,https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021213.html
2025,JVNDB-2025-021214,"ObjectPlanet, Inc. の Opinio におけるサーバサイドのリクエストフォージェリの脆弱性","ObjectPlanet, Inc. の Opinio には、サーバサイドのリクエストフォージェリの脆弱性が存在します。",2025-12-08 07:24:42+00:00,9.1,Critical,CVE-2025-13872,"ObjectPlanet, Inc.:Opinio",https://jvndb.jvn.jp/ja/contents/2025/JVNDB-2025-021214.html
